NL Sentence
"In frame 6 of sequence 'adl-01', the person is normal. The body height to width ratio is 6.32, major to minor axis ratio is 8.22, bounding box occupancy is 0.49, spread on XZ axes is 140.77, height-to-standing ratio is 0.96, body height is 1761.2 mm, distance from floor is 927.3 mm, and floor contact ratio is 0.0261."
"In frame 8 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.63, major to minor axis ratio is 4.57, bounding box occupancy is 0.61, spread on XZ axes is 159.65, height-to-standing ratio is 0.78, body height is 1428.8 mm, distance from floor is 818.3 mm, and floor contact ratio is 0.0752."
"In frame 9 of sequence 'adl-01', the person is normal. The body height to width ratio is 4.82, major to minor axis ratio is 5.56, bounding box occupancy is 0.63, spread on XZ axes is 139.00, height-to-standing ratio is 0.94, body height is 1722.7 mm, distance from floor is 908.9 mm, and floor contact ratio is 0.0856."
"In frame 10 of sequence 'adl-01', the person is normal. The body height to width ratio is 4.51, major to minor axis ratio is 5.17, bounding box occupancy is 0.59, spread on XZ axes is 138.39, height-to-standing ratio is 0.93, body height is 1714.8 mm, distance from floor is 944.7 mm, and floor contact ratio is 0.0454."
"In frame 11 of sequence 'adl-01', the person is normal. The body height to width ratio is 4.13, major to minor axis ratio is 4.78, bounding box occupancy is 0.61, spread on XZ axes is 140.17, height-to-standing ratio is 0.93, body height is 1714.9 mm, distance from floor is 923.3 mm, and floor contact ratio is 0.0720."
"In frame 12 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.74, major to minor axis ratio is 4.21, bounding box occupancy is 0.60, spread on XZ axes is 136.94, height-to-standing ratio is 0.93, body height is 1708.0 mm, distance from floor is 922.7 mm, and floor contact ratio is 0.0798."
"In frame 13 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.55, major to minor axis ratio is 3.96, bounding box occupancy is 0.60, spread on XZ axes is 144.36, height-to-standing ratio is 0.93, body height is 1702.5 mm, distance from floor is 945.2 mm, and floor contact ratio is 0.0743."
"In frame 14 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.25, major to minor axis ratio is 3.71, bounding box occupancy is 0.54, spread on XZ axes is 132.64, height-to-standing ratio is 0.95, body height is 1748.1 mm, distance from floor is 927.2 mm, and floor contact ratio is 0.0932."
"In frame 15 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.16, major to minor axis ratio is 3.29, bounding box occupancy is 0.59, spread on XZ axes is 137.23, height-to-standing ratio is 0.96, body height is 1763.7 mm, distance from floor is 923.0 mm, and floor contact ratio is 0.0822."
"In frame 16 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.10, major to minor axis ratio is 3.14, bounding box occupancy is 0.60, spread on XZ axes is 130.67, height-to-standing ratio is 0.92, body height is 1683.8 mm, distance from floor is 939.0 mm, and floor contact ratio is 0.0783."
"In frame 17 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.17, major to minor axis ratio is 2.90, bounding box occupancy is 0.60, spread on XZ axes is 137.68, height-to-standing ratio is 0.95, body height is 1743.8 mm, distance from floor is 939.5 mm, and floor contact ratio is 0.0747."
"In frame 18 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.87, major to minor axis ratio is 2.76, bounding box occupancy is 0.63, spread on XZ axes is 141.25, height-to-standing ratio is 0.92, body height is 1699.6 mm, distance from floor is 955.9 mm, and floor contact ratio is 0.0642."
"In frame 19 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.87, major to minor axis ratio is 2.94, bounding box occupancy is 0.57, spread on XZ axes is 110.55, height-to-standing ratio is 0.96, body height is 1774.3 mm, distance from floor is 952.3 mm, and floor contact ratio is 0.0751."
"In frame 20 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.88, major to minor axis ratio is 3.00, bounding box occupancy is 0.60, spread on XZ axes is 114.51, height-to-standing ratio is 0.94, body height is 1723.5 mm, distance from floor is 966.0 mm, and floor contact ratio is 0.0730."
"In frame 21 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.65, major to minor axis ratio is 2.85, bounding box occupancy is 0.58, spread on XZ axes is 116.49, height-to-standing ratio is 0.93, body height is 1711.3 mm, distance from floor is 966.0 mm, and floor contact ratio is 0.0671."
"In frame 22 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.49, major to minor axis ratio is 2.70, bounding box occupancy is 0.57, spread on XZ axes is 112.42, height-to-standing ratio is 0.93, body height is 1712.9 mm, distance from floor is 960.6 mm, and floor contact ratio is 0.0666."
"In frame 23 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.15, major to minor axis ratio is 2.49, bounding box occupancy is 0.57, spread on XZ axes is 115.17, height-to-standing ratio is 0.84, body height is 1542.7 mm, distance from floor is 944.9 mm, and floor contact ratio is 0.0648."
"In frame 24 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.65, major to minor axis ratio is 2.73, bounding box occupancy is 0.54, spread on XZ axes is 113.47, height-to-standing ratio is 0.97, body height is 1793.8 mm, distance from floor is 962.7 mm, and floor contact ratio is 0.0697."
"In frame 25 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.57, major to minor axis ratio is 2.74, bounding box occupancy is 0.53, spread on XZ axes is 113.51, height-to-standing ratio is 0.94, body height is 1737.5 mm, distance from floor is 964.1 mm, and floor contact ratio is 0.0708."
"In frame 26 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.46, major to minor axis ratio is 2.63, bounding box occupancy is 0.53, spread on XZ axes is 120.67, height-to-standing ratio is 0.94, body height is 1738.3 mm, distance from floor is 972.8 mm, and floor contact ratio is 0.0672."
"In frame 27 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.40, major to minor axis ratio is 2.64, bounding box occupancy is 0.50, spread on XZ axes is 117.97, height-to-standing ratio is 0.94, body height is 1733.0 mm, distance from floor is 961.8 mm, and floor contact ratio is 0.0746."
"In frame 28 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.54, major to minor axis ratio is 2.88, bounding box occupancy is 0.53, spread on XZ axes is 110.52, height-to-standing ratio is 0.95, body height is 1753.4 mm, distance from floor is 983.8 mm, and floor contact ratio is 0.0723."
"In frame 29 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.43, major to minor axis ratio is 2.56, bounding box occupancy is 0.50, spread on XZ axes is 117.13, height-to-standing ratio is 0.94, body height is 1724.3 mm, distance from floor is 973.8 mm, and floor contact ratio is 0.0712."
"In frame 30 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.49, major to minor axis ratio is 2.63, bounding box occupancy is 0.51, spread on XZ axes is 114.48, height-to-standing ratio is 0.93, body height is 1713.2 mm, distance from floor is 976.1 mm, and floor contact ratio is 0.0694."
"In frame 31 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.99, major to minor axis ratio is 2.07, bounding box occupancy is 0.57, spread on XZ axes is 121.47, height-to-standing ratio is 0.90, body height is 1655.1 mm, distance from floor is 1031.3 mm, and floor contact ratio is 0.0000."
"In frame 32 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.33, major to minor axis ratio is 2.48, bounding box occupancy is 0.52, spread on XZ axes is 117.42, height-to-standing ratio is 0.90, body height is 1656.5 mm, distance from floor is 959.1 mm, and floor contact ratio is 0.0665."
"In frame 33 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.45, major to minor axis ratio is 2.52, bounding box occupancy is 0.51, spread on XZ axes is 116.98, height-to-standing ratio is 0.94, body height is 1724.7 mm, distance from floor is 982.1 mm, and floor contact ratio is 0.0515."
"In frame 34 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.50, major to minor axis ratio is 2.61, bounding box occupancy is 0.53, spread on XZ axes is 114.73, height-to-standing ratio is 0.93, body height is 1712.6 mm, distance from floor is 973.4 mm, and floor contact ratio is 0.0697."
"In frame 35 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.36, major to minor axis ratio is 2.41, bounding box occupancy is 0.56, spread on XZ axes is 116.39, height-to-standing ratio is 0.87, body height is 1607.1 mm, distance from floor is 957.1 mm, and floor contact ratio is 0.0656."
"In frame 36 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.59, major to minor axis ratio is 1.39, bounding box occupancy is 0.34, spread on XZ axes is 129.02, height-to-standing ratio is 0.93, body height is 1712.8 mm, distance from floor is 1297.8 mm, and floor contact ratio is 0.0000."
"In frame 37 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.54, major to minor axis ratio is 2.67, bounding box occupancy is 0.54, spread on XZ axes is 112.15, height-to-standing ratio is 0.94, body height is 1723.1 mm, distance from floor is 955.0 mm, and floor contact ratio is 0.0671."
"In frame 38 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.31, major to minor axis ratio is 2.41, bounding box occupancy is 0.60, spread on XZ axes is 119.24, height-to-standing ratio is 0.86, body height is 1589.0 mm, distance from floor is 948.7 mm, and floor contact ratio is 0.0612."
"In frame 39 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.61, major to minor axis ratio is 2.60, bounding box occupancy is 0.56, spread on XZ axes is 116.30, height-to-standing ratio is 0.93, body height is 1707.1 mm, distance from floor is 960.9 mm, and floor contact ratio is 0.0658."
"In frame 40 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.55, major to minor axis ratio is 2.62, bounding box occupancy is 0.56, spread on XZ axes is 118.31, height-to-standing ratio is 0.92, body height is 1700.3 mm, distance from floor is 947.7 mm, and floor contact ratio is 0.0690."
"In frame 41 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.50, major to minor axis ratio is 2.82, bounding box occupancy is 0.57, spread on XZ axes is 112.26, height-to-standing ratio is 0.89, body height is 1631.6 mm, distance from floor is 922.4 mm, and floor contact ratio is 0.0827."
"In frame 42 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.91, major to minor axis ratio is 2.79, bounding box occupancy is 0.52, spread on XZ axes is 118.73, height-to-standing ratio is 0.95, body height is 1748.9 mm, distance from floor is 913.9 mm, and floor contact ratio is 0.1059."
"In frame 43 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.62, major to minor axis ratio is 2.72, bounding box occupancy is 0.54, spread on XZ axes is 120.80, height-to-standing ratio is 0.84, body height is 1546.8 mm, distance from floor is 890.2 mm, and floor contact ratio is 0.1136."
"In frame 44 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.89, major to minor axis ratio is 3.07, bounding box occupancy is 0.49, spread on XZ axes is 116.91, height-to-standing ratio is 0.95, body height is 1745.7 mm, distance from floor is 916.7 mm, and floor contact ratio is 0.1187."
"In frame 45 of sequence 'adl-01', the person is normal. The body height to width ratio is 1.80, major to minor axis ratio is 2.01, bounding box occupancy is 0.64, spread on XZ axes is 126.79, height-to-standing ratio is 0.79, body height is 1460.5 mm, distance from floor is 951.3 mm, and floor contact ratio is 0.0082."
"In frame 46 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.81, major to minor axis ratio is 3.11, bounding box occupancy is 0.47, spread on XZ axes is 120.79, height-to-standing ratio is 0.95, body height is 1740.8 mm, distance from floor is 889.0 mm, and floor contact ratio is 0.1363."
"In frame 47 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.43, major to minor axis ratio is 2.79, bounding box occupancy is 0.54, spread on XZ axes is 127.50, height-to-standing ratio is 0.81, body height is 1485.4 mm, distance from floor is 841.4 mm, and floor contact ratio is 0.1503."
"In frame 48 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.78, major to minor axis ratio is 2.94, bounding box occupancy is 0.51, spread on XZ axes is 125.03, height-to-standing ratio is 0.89, body height is 1642.4 mm, distance from floor is 872.8 mm, and floor contact ratio is 0.1457."
"In frame 49 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.78, major to minor axis ratio is 3.00, bounding box occupancy is 0.50, spread on XZ axes is 123.76, height-to-standing ratio is 0.89, body height is 1630.5 mm, distance from floor is 852.0 mm, and floor contact ratio is 0.1590."
"In frame 50 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.79, major to minor axis ratio is 3.02, bounding box occupancy is 0.53, spread on XZ axes is 126.87, height-to-standing ratio is 0.89, body height is 1631.4 mm, distance from floor is 871.2 mm, and floor contact ratio is 0.1539."
"In frame 51 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.51, major to minor axis ratio is 2.93, bounding box occupancy is 0.55, spread on XZ axes is 127.93, height-to-standing ratio is 0.79, body height is 1459.8 mm, distance from floor is 843.7 mm, and floor contact ratio is 0.1556."
"In frame 52 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.82, major to minor axis ratio is 3.08, bounding box occupancy is 0.51, spread on XZ axes is 124.44, height-to-standing ratio is 0.90, body height is 1664.7 mm, distance from floor is 853.9 mm, and floor contact ratio is 0.1627."
"In frame 53 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.92, major to minor axis ratio is 3.01, bounding box occupancy is 0.47, spread on XZ axes is 126.05, height-to-standing ratio is 0.95, body height is 1741.1 mm, distance from floor is 876.6 mm, and floor contact ratio is 0.1512."
"In frame 54 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.41, major to minor axis ratio is 2.68, bounding box occupancy is 0.53, spread on XZ axes is 129.77, height-to-standing ratio is 0.78, body height is 1435.9 mm, distance from floor is 838.0 mm, and floor contact ratio is 0.1498."
"In frame 55 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.41, major to minor axis ratio is 2.64, bounding box occupancy is 0.55, spread on XZ axes is 129.48, height-to-standing ratio is 0.78, body height is 1442.3 mm, distance from floor is 827.2 mm, and floor contact ratio is 0.1515."
"In frame 56 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.46, major to minor axis ratio is 2.66, bounding box occupancy is 0.55, spread on XZ axes is 127.86, height-to-standing ratio is 0.80, body height is 1469.1 mm, distance from floor is 842.7 mm, and floor contact ratio is 0.1328."
"In frame 57 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.00, major to minor axis ratio is 2.04, bounding box occupancy is 0.48, spread on XZ axes is 134.22, height-to-standing ratio is 0.69, body height is 1262.5 mm, distance from floor is 697.3 mm, and floor contact ratio is 0.1815."
"In frame 58 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.52, major to minor axis ratio is 2.64, bounding box occupancy is 0.54, spread on XZ axes is 128.38, height-to-standing ratio is 0.85, body height is 1560.3 mm, distance from floor is 875.9 mm, and floor contact ratio is 0.1213."
"In frame 59 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.44, major to minor axis ratio is 2.63, bounding box occupancy is 0.52, spread on XZ axes is 128.33, height-to-standing ratio is 0.85, body height is 1557.9 mm, distance from floor is 867.8 mm, and floor contact ratio is 0.1259."
"In frame 60 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.37, major to minor axis ratio is 2.53, bounding box occupancy is 0.53, spread on XZ axes is 129.72, height-to-standing ratio is 0.81, body height is 1491.6 mm, distance from floor is 861.5 mm, and floor contact ratio is 0.1202."
"In frame 61 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.30, major to minor axis ratio is 2.59, bounding box occupancy is 0.52, spread on XZ axes is 125.88, height-to-standing ratio is 0.81, body height is 1491.6 mm, distance from floor is 850.1 mm, and floor contact ratio is 0.1257."
"In frame 62 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.28, major to minor axis ratio is 2.80, bounding box occupancy is 0.53, spread on XZ axes is 124.78, height-to-standing ratio is 0.82, body height is 1505.7 mm, distance from floor is 835.5 mm, and floor contact ratio is 0.1551."
"In frame 63 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.38, major to minor axis ratio is 2.97, bounding box occupancy is 0.50, spread on XZ axes is 119.48, height-to-standing ratio is 0.85, body height is 1568.3 mm, distance from floor is 834.3 mm, and floor contact ratio is 0.1630."
"In frame 64 of sequence 'adl-01', the person is normal. The body height to width ratio is 3.15, major to minor axis ratio is 3.82, bounding box occupancy is 0.62, spread on XZ axes is 91.20, height-to-standing ratio is 0.82, body height is 1501.3 mm, distance from floor is 798.5 mm, and floor contact ratio is 0.1906."
"In frame 65 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.42, major to minor axis ratio is 3.08, bounding box occupancy is 0.49, spread on XZ axes is 115.58, height-to-standing ratio is 0.85, body height is 1566.2 mm, distance from floor is 853.9 mm, and floor contact ratio is 0.1635."
"In frame 66 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.92, major to minor axis ratio is 3.49, bounding box occupancy is 0.56, spread on XZ axes is 99.08, height-to-standing ratio is 0.81, body height is 1494.1 mm, distance from floor is 814.9 mm, and floor contact ratio is 0.1821."
"In frame 67 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.50, major to minor axis ratio is 3.41, bounding box occupancy is 0.47, spread on XZ axes is 102.40, height-to-standing ratio is 0.82, body height is 1499.7 mm, distance from floor is 816.3 mm, and floor contact ratio is 0.1867."
"In frame 68 of sequence 'adl-01', the person is normal. The body height to width ratio is 2.81, major to minor axis ratio is 3.45, bounding box occupancy is 0.52, spread on XZ axes is 106.91, height-to-standing ratio is 0.82, body height is 1513.0 mm, distance from floor is 827.5 mm, and floor contact ratio is 0.1728."
